"filename", "language", "Markdown", "PHP", "CSS", "JavaScript", "Properties", "JSON", "XML", "HTML", "comment", "blank", "total"
"c:\wamp64\www\financiera\utils\plugins\bootstrap4-duallistbox\bootstrap-duallistbox.css", "CSS", 0, 0, 67, 0, 0, 0, 0, 0, 8, 13, 88
"c:\wamp64\www\financiera\utils\plugins\bootstrap4-duallistbox\bootstrap-duallistbox.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\wamp64\www\financiera\utils\plugins\bootstrap4-duallistbox\jquery.bootstrap-duallistbox.js", "JavaScript", 0, 0, 0, 783, 0, 0, 0, 0, 39, 72, 894
"c:\wamp64\www\financiera\utils\plugins\bootstrap4-duallistbox\jquery.bootstrap-duallistbox.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 8, 1, 10
"c:\wamp64\www\financiera\utils\plugins\bootstrap\js\bootstrap.bundle.js", "JavaScript", 0, 0, 0, 4510, 0, 0, 0, 0, 1272, 1191, 6973
"c:\wamp64\www\financiera\utils\plugins\bootstrap\js\bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"c:\wamp64\www\financiera\utils\plugins\bootstrap\js\bootstrap.js", "JavaScript", 0, 0, 0, 3270, 0, 0, 0, 0, 222, 866, 4358
"c:\wamp64\www\financiera\utils\plugins\bootstrap\js\bootstrap.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"c:\wamp64\www\financiera\utils\plugins\bs-custom-file-input\bs-custom-file-input.js", "JavaScript", 0, 0, 0, 130, 0, 0, 0, 0, 6, 32, 168
"c:\wamp64\www\financiera\utils\plugins\bs-custom-file-input\bs-custom-file-input.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 6, 1, 8
"c:\wamp64\www\financiera\utils\plugins\bs-stepper\css\bs-stepper.css", "CSS", 0, 0, 161, 0, 0, 0, 0, 0, 6, 27, 194
"c:\wamp64\www\financiera\utils\plugins\bs-stepper\css\bs-stepper.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 6
"c:\wamp64\www\financiera\utils\plugins\bs-stepper\js\bs-stepper.js", "JavaScript", 0, 0, 0, 334, 0, 0, 0, 0, 8, 87, 429
